name,url,img,poem
Ally the Alligator,https://www.angelfire.com/ar/bbcollector/ally.html,img/ally.gif,When Ally gets out of classes He wears a hat and dark glasses He plays bass in a street band He's the coolest gator in the land!
Ants the Anteater,https://www.angelfire.com/ar/bbcollector/ants2.html,img/ants2.gif,Most anteaters love to eat bugs But this little fellow gives big hugs He'd rather dine on apple pie Than eat an ant or harm a fly!
Baldy the Eagle,https://www.angelfire.com/ar/bbcollector/baldy.html,img/baldy.gif,Hair on his head is quite scant We suggest Baldy get a transplant Watching over the land of the free Hair in his eyes would make it hard to see!
Batty the Bat,https://www.angelfire.com/ar/bbcollector/batty.html,img/batty.gif,Bats may make some people jitter Please don't be scared of this critter If you're lonely or have nothing to do This Beanie Baby would love to hug you!
Bernie the St. Bernard,https://www.angelfire.com/ar/bbcollector/bernie.html,img/bernie.gif,This little dog can't wait to grow To rescue people lost in the snow Don't let him out-keep him on your shelf He doesn't know how to rescue himself!
Bessie the Cow,https://www.angelfire.com/ar/bbcollector/bessie.html,img/bessie.gif,Bessie the cow likes to dance and sing Because music is her favorite thing Every night when you are counting sheep She'll sing you a song to put you to sleep!
Blackie the Bear,https://www.angelfire.com/ar/bbcollector/blackie.html,img/blackie.gif,Living in a national park He only played after dark Then he met his friend Cubbie Now they play when it's sunny!
Blizzard the White Tiger,https://www.angelfire.com/ar/bbcollector/blizzard.html,img/blizzard.gif,"In the mountains, where it's snowy and cold Lives a beautiful tiger, I've been told Black and white, she's hard to compare Of all the tigers, she is most rare!"
Bones the Dog,https://www.angelfire.com/ar/bbcollector/bones.html,img/bones.gif,"Bones is a dog that loves to chew Chairs and a table and a smelly old shoe ""You're so destructive"" all would shout But that all stopped, when his teeth fell out!"
Bongo the Monkey,https://www.angelfire.com/ar/bbcollector/bongo.html,No image found,Bongo the monkey lives in a tree He's the happiest monkey that you'll ever see In his spare time he plays the guitar One of these days he will be a big star!
